ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
snake,bear,cat,turkey,hog,eagle,elephant,crocodile,lizard,"['stim8', 'stim7', 'stim4', 'stim6', 'stim2', 'stim1', 'stim3', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
duck,horse,goat,owl,bluebird,whale,bat,snail,sheep,"['stim3', 'stim4', 'stim6', 'stim2', 'stim8', 'stim1', 'stim5', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
sparrow,whale,mouse,elephant,turtle,pigeon,rat,horse,spider,"['stim5', 'stim2', 'stim6', 'stim4', 'stim8', 'stim7', 'stim3', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
whale,goat,crocodile,snake,bluebird,tiger,sparrow,elephant,frog,"['stim7', 'stim5', 'stim1', 'stim2', 'stim8', 'stim3', 'stim6', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
hog,bear,goat,fox,sparrow,horse,goldfish,turkey,ladybug,"['stim2', 'stim1', 'stim5', 'stim7', 'stim3', 'stim4', 'stim8', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bluebird,frog,monkey,bear,hog,cow,lizard,dog,horse,"['stim7', 'stim4', 'stim5', 'stim2', 'stim3', 'stim8', 'stim6', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
turkey,butterfly,giraffe,snake,owl,sheep,cat,mouse,snail,"['stim4', 'stim5', 'stim6', 'stim2', 'stim7', 'stim1', 'stim3', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bear,elephant,shark,dog,cow,crocodile,eagle,duck,turtle,"['stim4', 'stim1', 'stim3', 'stim2', 'stim5', 'stim8', 'stim7', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
crocodile,lizard,rat,sparrow,cat,giraffe,elephant,duck,whale,"['stim6', 'stim1', 'stim8', 'stim7', 'stim5', 'stim4', 'stim2', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
owl,frog,cow,eagle,turkey,sparrow,elephant,ant,mouse,"['stim3', 'stim5', 'stim4', 'stim8', 'stim2', 'stim6', 'stim7', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
lizard,dog,bat,shark,cow,hog,bear,snail,fox,"['stim7', 'stim2', 'stim5', 'stim1', 'stim8', 'stim4', 'stim6', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
