ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
goldfish,spider,hog,whale,monkey,elephant,cat,cow,lizard,"['stim3', 'stim8', 'stim5', 'stim1', 'stim6', 'stim2', 'stim7', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
crocodile,goat,cow,turkey,pigeon,sheep,ladybug,dolphin,goldfish,"['stim7', 'stim8', 'stim1', 'stim2', 'stim5', 'stim3', 'stim4', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
dolphin,turkey,cat,hog,snail,dog,eagle,pigeon,goldfish,"['stim8', 'stim4', 'stim5', 'stim3', 'stim2', 'stim1', 'stim7', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
duck,snake,hog,dog,ladybug,monkey,fox,sparrow,shark,"['stim7', 'stim4', 'stim2', 'stim3', 'stim6', 'stim5', 'stim1', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
elephant,duck,pigeon,horse,snake,cow,goldfish,spider,fox,"['stim3', 'stim5', 'stim8', 'stim4', 'stim1', 'stim6', 'stim2', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
duck,sheep,horse,lizard,ant,goldfish,eagle,turkey,butterfly,"['stim7', 'stim6', 'stim8', 'stim3', 'stim4', 'stim2', 'stim1', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ladybug,rat,snail,snake,cow,pigeon,sheep,turkey,monkey,"['stim2', 'stim3', 'stim1', 'stim5', 'stim7', 'stim6', 'stim4', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
fox,snail,butterfly,turkey,owl,spider,duck,crocodile,shark,"['stim7', 'stim8', 'stim3', 'stim5', 'stim6', 'stim4', 'stim1', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
snail,shark,crocodile,goat,hog,butterfly,frog,bluebird,giraffe,"['stim6', 'stim5', 'stim2', 'stim1', 'stim4', 'stim3', 'stim7', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
snake,monkey,spider,ladybug,butterfly,turtle,ant,dolphin,sparrow,"['stim7', 'stim5', 'stim2', 'stim6', 'stim4', 'stim3', 'stim8', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
shark,turkey,sparrow,bear,goat,monkey,dog,whale,cat,"['stim7', 'stim3', 'stim6', 'stim8', 'stim5', 'stim4', 'stim1', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goat,sparrow,dolphin,giraffe,sheep,elephant,snail,bat,spider,"['stim4', 'stim3', 'stim5', 'stim7', 'stim2', 'stim8', 'stim6', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
turkey,hog,rat,spider,frog,monkey,horse,whale,bear,"['stim1', 'stim8', 'stim6', 'stim5', 'stim4', 'stim2', 'stim3', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ant,tiger,owl,bluebird,elephant,frog,duck,fox,goat,"['stim5', 'stim8', 'stim7', 'stim4', 'stim3', 'stim6', 'stim1', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
