ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,"['stim2', 'stim1', 'stim8', 'stim5', 'stim6', 'stim3', 'stim4', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
giraffe,sparrow,fox,bluebird,horse,dolphin,frog,butterfly,rat,"['stim4', 'stim2', 'stim5', 'stim3', 'stim1', 'stim6', 'stim8', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
turtle,bear,sheep,monkey,dog,owl,ladybug,eagle,lizard,"['stim8', 'stim6', 'stim5', 'stim7', 'stim4', 'stim3', 'stim2', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
crocodile,eagle,fox,monkey,dolphin,pigeon,dog,bat,mouse,"['stim4', 'stim7', 'stim1', 'stim2', 'stim6', 'stim3', 'stim8', 'stim5']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
fox,duck,spider,crocodile,turkey,owl,snail,butterfly,shark,"['stim1', 'stim4', 'stim3', 'stim5', 'stim2', 'stim6', 'stim7', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,"['stim8', 'stim2', 'stim5', 'stim7', 'stim6', 'stim1', 'stim3', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
lizard,rat,fox,ant,spider,goldfish,dog,elephant,giraffe,"['stim4', 'stim3', 'stim1', 'stim5', 'stim2', 'stim6', 'stim8', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,"['stim7', 'stim6', 'stim8', 'stim4', 'stim1', 'stim2', 'stim5', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
hog,snail,cat,bear,mouse,elephant,sparrow,owl,bluebird,"['stim2', 'stim3', 'stim5', 'stim4', 'stim7', 'stim8', 'stim6', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
giraffe,dolphin,turkey,ladybug,sparrow,ant,turtle,snake,owl,"['stim1', 'stim2', 'stim8', 'stim4', 'stim7', 'stim6', 'stim3', 'stim5']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
